,V5,V2,symbol
0,-0.15,0.2,
1,-0.15,0.2,
2,-0.15,0.2,
3,-0.15,0.2,
4,-0.15,0.2,
5,-0.15,0.2,
6,-0.15,0.2,
7,-0.15,0.2,
8,-0.145,0.2,
9,-0.135,0.215,
10,-0.11,0.235,
11,-0.08,0.24,
12,-0.04,0.24,
13,0.0,0.245,
14,0.125,0.265,
15,0.485,0.335,
16,0.925,0.46,
17,0.985,0.775,
18,0.625,1.03,
19,0.25,0.935,
20,0.095,0.665,
21,0.1,0.485,
22,0.12,0.445,
23,0.11,0.425,
24,0.08,0.395,
25,0.05,0.355,
26,0.04,0.335,
27,0.035,0.33,
28,0.045,0.335,
29,0.06,0.3,
30,0.06,0.305,
31,0.045,0.26,
32,0.015,0.235,
33,0.01,0.21,
34,0.0,0.195,
35,0.0,0.165,
36,-0.02,0.165,+
37,-0.035,0.135,
38,-0.065,0.115,
39,-0.075,0.11,
40,-0.11,0.11,
41,-0.145,0.105,
42,-0.18,0.085,
43,-0.225,0.065,
44,-0.27,0.035,
45,-0.31,0.04,
46,-0.38,0.03,
47,-0.455,0.02,
48,-0.51,-0.005,
49,-0.565,-0.02,
50,-0.62,-0.04,
51,-0.665,-0.03,
52,-0.705,-0.035,
53,-0.75,-0.045,
54,-0.79,-0.07,
55,-0.83,-0.105,
56,-0.86,-0.15,
57,-0.88,-0.18,
58,-0.885,-0.22,
59,-0.9,-0.255,
60,-0.9,-0.3,
61,-0.895,-0.33,
62,-0.885,-0.345,
63,-0.87,-0.37,
64,-0.855,-0.385,
65,-0.845,-0.405,
66,-0.825,-0.435,
67,-0.82,-0.475,
68,-0.8,-0.48,
69,-0.77,-0.5,
70,-0.72,-0.51,
71,-0.655,-0.535,
72,-0.61,-0.565,
73,-0.58,-0.58,/
74,-0.55,-0.565,
75,-0.49,-0.53,
76,-0.445,-0.485,
77,-0.38,-0.445,
78,-0.345,-0.4,
79,-0.31,-0.36,
80,-0.3,-0.305,
81,-0.27,-0.245,
82,-0.235,-0.18,
83,-0.225,-0.125,
84,-0.215,-0.085,
85,-0.22,-0.055,
86,-0.225,-0.015,
87,-0.22,0.02,
88,-0.21,0.055,
89,-0.2,0.085,
90,-0.18,0.095,
91,-0.19,0.095,
92,-0.205,0.095,
93,-0.205,0.11,
94,-0.21,0.145,
95,-0.205,0.155,
96,-0.2,0.175,
97,-0.2,0.185,
98,-0.19,0.215,
99,-0.175,0.245,
100,-0.165,0.275,
101,-0.13,0.295,
102,-0.145,0.31,
103,-0.125,0.315,
104,-0.13,0.32,
105,-0.115,0.335,
106,-0.095,0.35,
107,-0.085,0.345,
108,-0.08,0.34,
109,-0.08,0.335,
110,-0.085,0.33,
111,-0.075,0.345,
112,-0.065,0.365,
113,-0.05,0.36,
114,-0.045,0.365,
115,-0.05,0.35,
116,-0.05,0.35,
117,-0.045,0.36,
118,-0.035,0.37,
119,-0.015,0.385,
120,-0.02,0.38,
121,-0.035,0.375,
122,-0.025,0.365,
123,-0.03,0.37,
124,-0.01,0.39,
125,-0.01,0.39,
126,0.005,0.395,
127,-0.005,0.395,
128,-0.005,0.385,
129,-0.005,0.4,
130,0.01,0.415,
131,0.02,0.415,
132,0.025,0.42,
133,0.02,0.41,
134,0.015,0.41,
135,0.02,0.43,
136,0.035,0.435,
137,0.05,0.44,
138,0.04,0.44,
139,0.045,0.44,
140,0.04,0.43,
141,0.035,0.445,
142,0.055,0.465,
143,0.065,0.47,
144,0.06,0.465,
145,0.055,0.465,
146,0.055,0.465,
147,0.065,0.47,
148,0.08,0.49,
149,0.07,0.495,
150,0.09,0.5,
151,0.08,0.485,
152,0.07,0.49,
153,0.075,0.505,
154,0.085,0.52,
155,0.1,0.52,
156,0.095,0.52,
157,0.09,0.52,
158,0.08,0.515,
159,0.08,0.53,
160,0.095,0.535,
161,0.095,0.55,
162,0.09,0.545,
163,0.09,0.535,
164,0.09,0.535,
165,0.09,0.54,
166,0.075,0.545,
167,0.085,0.56,
168,0.105,0.535,
169,0.08,0.54,
170,0.065,0.52,
171,0.065,0.525,
172,0.07,0.525,
173,0.075,0.535,
174,0.065,0.52,
175,0.055,0.51,
176,0.035,0.5,
177,0.035,0.505,
178,0.035,0.515,
179,0.035,0.495,
180,0.025,0.485,
181,0.01,0.465,
182,0.0,0.455,
183,-0.02,0.465,
184,-0.01,0.465,
185,-0.015,0.47,
186,-0.02,0.45,
187,-0.05,0.44,
188,-0.06,0.43,
189,-0.06,0.425,
190,-0.065,0.425,
191,-0.065,0.42,
192,-0.08,0.4,
193,-0.095,0.38,
194,-0.1,0.37,
195,-0.095,0.375,
196,-0.1,0.38,
197,-0.09,0.375,
198,-0.1,0.365,
199,-0.11,0.345,
200,-0.135,0.34,
201,-0.135,0.33,
202,-0.125,0.335,
203,-0.12,0.33,
204,-0.115,0.33,
205,-0.135,0.31,
206,-0.15,0.3,
207,-0.145,0.295,
208,-0.145,0.3,
209,-0.135,0.305,
210,-0.135,0.295,
211,-0.145,0.29,
212,-0.155,0.28,
213,-0.15,0.285,
214,-0.14,0.295,
215,-0.14,0.29,
216,-0.145,0.28,
217,-0.15,0.28,
218,-0.15,0.27,
219,-0.17,0.29,
220,-0.155,0.275,
221,-0.145,0.285,
222,-0.135,0.265,
223,-0.15,0.275,
224,-0.16,0.265,
225,-0.155,0.275,
226,-0.16,0.29,
227,-0.135,0.275,
228,-0.145,0.265,
229,-0.15,0.26,
230,-0.165,0.26,
231,-0.155,0.26,
232,-0.14,0.275,
233,-0.135,0.27,
234,-0.155,0.255,
235,-0.15,0.26,
236,-0.165,0.255,
237,-0.165,0.25,
238,-0.16,0.265,
239,-0.15,0.27,
240,-0.15,0.265,
241,-0.15,0.245,
242,-0.15,0.25,
243,-0.175,0.255,
244,-0.165,0.265,
245,-0.155,0.265,
246,-0.16,0.265,
247,-0.17,0.265,
248,-0.175,0.255,
249,-0.185,0.255,
250,-0.16,0.275,
251,-0.16,0.265,
252,-0.165,0.26,
253,-0.18,0.25,
254,-0.19,0.25,
255,-0.195,0.255,
256,-0.18,0.265,
257,-0.18,0.26,
258,-0.185,0.25,
259,-0.195,0.245,
260,-0.21,0.23,
261,-0.205,0.245,
262,-0.2,0.26,
263,-0.2,0.245,
264,-0.205,0.24,
265,-0.22,0.225,
266,-0.24,0.23,
267,-0.23,0.235,
268,-0.22,0.24,
269,-0.215,0.24,
270,-0.225,0.24,
271,-0.225,0.23,
272,-0.245,0.22,
273,-0.235,0.23,
274,-0.23,0.23,
275,-0.215,0.225,
276,-0.215,0.235,
277,-0.235,0.205,
278,-0.245,0.21,
279,-0.235,0.22,
280,-0.23,0.225,
281,-0.225,0.225,
282,-0.235,0.23,
283,-0.25,0.21,
284,-0.26,0.205,
285,-0.25,0.215,
286,-0.245,0.215,
287,-0.23,0.235,
288,-0.245,0.21,
289,-0.25,0.205,
290,-0.25,0.195,
291,-0.255,0.215,
292,-0.25,0.22,
293,-0.245,0.22,
294,-0.26,0.2,
295,-0.25,0.2,
296,-0.28,0.205,
297,-0.26,0.21,
298,-0.255,0.215,
299,-0.255,0.22,
300,-0.255,0.22,
301,-0.25,0.215,
302,-0.27,0.195,
303,-0.26,0.215,
304,-0.255,0.225,
305,-0.24,0.225,
306,-0.235,0.22,
307,-0.23,0.215,
308,-0.21,0.215,
309,-0.205,0.23,
310,-0.135,0.245,
311,-0.04,0.275,
312,0.205,0.315,
313,0.63,0.415,
314,0.845,0.695,
315,0.63,1.0,
316,0.26,0.98,/
317,0.06,0.71,
