,MLII,V4,symbol
0,-1.0,-0.685,
1,-1.0,-0.685,
2,-1.0,-0.685,
3,-1.0,-0.685,
4,-1.0,-0.685,
5,-1.0,-0.685,
6,-1.0,-0.685,
7,-0.985,-0.68,
8,-0.97,-0.68,
9,-0.97,-0.695,
10,-0.97,-0.695,
11,-0.97,-0.695,
12,-0.98,-0.705,
13,-0.975,-0.705,
14,-0.975,-0.695,
15,-0.985,-0.69,
16,-0.98,-0.69,
17,-0.97,-0.67,
18,-0.975,-0.675,
19,-0.955,-0.665,
20,-0.945,-0.675,
21,-0.95,-0.675,
22,-0.965,-0.68,
23,-0.95,-0.68,
24,-0.955,-0.685,
25,-0.96,-0.69,
26,-0.96,-0.69,
27,-0.965,-0.68,
28,-0.97,-0.67,
29,-0.965,-0.665,
30,-0.95,-0.66,
31,-0.95,-0.65,
32,-0.925,-0.655,
33,-0.93,-0.66,
34,-0.94,-0.66,
35,-0.935,-0.665,
36,-0.94,-0.665,
37,-0.95,-0.67,
38,-0.965,-0.675,
39,-0.96,-0.675,
40,-0.95,-0.665,
41,-0.955,-0.66,
42,-0.94,-0.655,
43,-0.945,-0.65,
44,-0.925,-0.66,
45,-0.925,-0.66,
46,-0.93,-0.665,
47,-0.93,-0.68,
48,-0.935,-0.675,
49,-0.945,-0.675,
50,-0.95,-0.675,
51,-0.95,-0.675,
52,-0.945,-0.66,
53,-0.94,-0.66,
54,-0.935,-0.655,
55,-0.92,-0.655,
56,-0.92,-0.64,
57,-0.92,-0.65,
58,-0.915,-0.645,
59,-0.915,-0.655,
60,-0.92,-0.66,
61,-0.92,-0.69,
62,-0.93,-0.675,
63,-0.93,-0.675,
64,-0.95,-0.665,
65,-0.955,-0.66,
66,-0.93,-0.65,
67,-0.915,-0.645,
68,-0.905,-0.64,
69,-0.9,-0.65,
70,-0.91,-0.655,
71,-0.92,-0.655,
72,-0.925,-0.66,
73,-0.925,-0.68,
74,-0.925,-0.69,
75,-0.92,-0.68,
76,-0.93,-0.685,
77,-0.935,-0.67,
78,-0.92,-0.655,
79,-0.905,-0.635,
80,-0.905,-0.64,
81,-0.895,-0.64,
82,-0.9,-0.655,
83,-0.905,-0.675,
84,-0.915,-0.69,
85,-0.92,-0.7,
86,-0.91,-0.68,
87,-0.92,-0.675,
88,-0.925,-0.675,
89,-0.91,-0.655,
90,-0.915,-0.65,
91,-0.9,-0.645,
92,-0.895,-0.635,
93,-0.9,-0.65,
94,-0.9,-0.66,
95,-0.905,-0.67,
96,-0.91,-0.675,
97,-0.91,-0.68,
98,-0.92,-0.675,
99,-0.92,-0.655,
100,-0.92,-0.66,+
101,-0.92,-0.655,
102,-0.91,-0.645,
103,-0.92,-0.655,
104,-0.9,-0.64,
105,-0.895,-0.66,
106,-0.9,-0.665,
107,-0.905,-0.67,
108,-0.915,-0.68,
109,-0.91,-0.67,
110,-0.92,-0.68,
111,-0.925,-0.675,
112,-0.935,-0.67,
113,-0.91,-0.655,
114,-0.905,-0.66,
115,-0.905,-0.655,
116,-0.895,-0.655,
117,-0.895,-0.66,
118,-0.895,-0.675,
119,-0.9,-0.67,
120,-0.91,-0.675,
121,-0.905,-0.685,
122,-0.915,-0.675,
123,-0.92,-0.68,
124,-0.915,-0.685,
125,-0.91,-0.67,
126,-0.92,-0.665,
127,-0.9,-0.66,
128,-0.89,-0.66,
129,-0.895,-0.665,
130,-0.895,-0.655,
131,-0.895,-0.665,
132,-0.905,-0.665,
133,-0.91,-0.68,
134,-0.915,-0.685,
135,-0.91,-0.68,
136,-0.915,-0.68,
137,-0.92,-0.66,
138,-0.9,-0.655,
139,-0.9,-0.65,
140,-0.895,-0.65,
141,-0.885,-0.665,
142,-0.895,-0.66,
143,-0.9,-0.675,
144,-0.9,-0.68,
145,-0.905,-0.68,
146,-0.915,-0.69,
147,-0.92,-0.68,
148,-0.92,-0.67,
149,-0.91,-0.67,
150,-0.905,-0.66,
151,-0.9,-0.655,
152,-0.895,-0.655,
153,-0.885,-0.645,
154,-0.89,-0.66,
155,-0.885,-0.67,
156,-0.885,-0.685,
157,-0.89,-0.68,
158,-0.9,-0.68,
159,-0.89,-0.675,
160,-0.895,-0.69,
161,-0.885,-0.675,
162,-0.87,-0.67,
163,-0.88,-0.67,
164,-0.865,-0.65,
165,-0.87,-0.67,
166,-0.87,-0.66,
167,-0.87,-0.68,
168,-0.865,-0.685,
169,-0.86,-0.685,
170,-0.85,-0.685,
171,-0.85,-0.675,
172,-0.835,-0.68,
173,-0.82,-0.665,
174,-0.82,-0.66,
175,-0.81,-0.645,
176,-0.81,-0.64,
177,-0.815,-0.65,
178,-0.83,-0.64,
179,-0.835,-0.665,
180,-0.85,-0.665,
181,-0.865,-0.665,
182,-0.865,-0.655,
183,-0.87,-0.655,
184,-0.87,-0.65,
185,-0.865,-0.64,
186,-0.87,-0.635,
187,-0.86,-0.64,
188,-0.845,-0.62,
189,-0.83,-0.605,
190,-0.82,-0.605,
191,-0.815,-0.615,
192,-0.815,-0.605,
193,-0.82,-0.615,
194,-0.825,-0.62,
195,-0.84,-0.63,
