,MLII,V1,symbol
0,-0.125,-0.78,
1,-0.125,-0.78,
2,-0.125,-0.78,
3,-0.125,-0.78,
4,-0.125,-0.78,
5,-0.125,-0.78,
6,-0.125,-0.78,
7,-0.125,-0.8,
8,-0.135,-0.81,
9,-0.125,-0.84,
10,-0.125,-0.83,
11,-0.12,-0.82,
12,-0.095,-0.815,
13,-0.085,-0.81,
14,-0.105,-0.8,
15,-0.17,-0.815,
16,-0.225,-0.835,
17,-0.255,-0.84,
18,-0.28,-0.82,
19,-0.295,-0.81,
20,-0.34,-0.825,
21,-0.395,-0.85,
22,-0.41,-0.86,
23,-0.405,-0.845,+
24,-0.38,-0.84,
25,-0.37,-0.845,
26,-0.39,-0.85,
27,-0.41,-0.865,
28,-0.425,-0.875,
29,-0.42,-0.855,
30,-0.405,-0.85,
31,-0.37,-0.855,
32,-0.375,-0.855,
33,-0.39,-0.85,
34,-0.41,-0.865,
35,-0.405,-0.865,
36,-0.395,-0.855,
37,-0.375,-0.85,
38,-0.39,-0.845,
39,-0.395,-0.845,
40,-0.395,-0.86,
41,-0.395,-0.85,
42,-0.385,-0.84,
43,-0.38,-0.83,
44,-0.385,-0.84,
45,-0.4,-0.855,
46,-0.405,-0.86,
47,-0.405,-0.855,
48,-0.405,-0.855,
49,-0.415,-0.855,
50,-0.435,-0.855,
51,-0.425,-0.87,
52,-0.425,-0.87,
53,-0.39,-0.855,
54,-0.375,-0.845,
55,-0.365,-0.83,
56,-0.37,-0.815,
57,-0.365,-0.825,
58,-0.38,-0.835,
59,-0.405,-0.855,
60,-0.405,-0.905,
61,-0.39,-0.95,
62,-0.365,-1.045,
63,-0.33,-1.14,
64,-0.32,-1.26,
65,-0.295,-1.435,
66,-0.27,-1.67,
67,-0.28,-1.92,
68,-0.34,-2.095,
69,-0.44,-2.17,
70,-0.51,-2.17,
71,-0.52,-2.125,
72,-0.51,-2.08,
73,-0.51,-2.055,
74,-0.535,-2.03,
75,-0.54,-1.995,
76,-0.585,-1.955,
77,-0.625,-1.93,
78,-0.64,-1.89,
79,-0.65,-1.86,
80,-0.685,-1.835,
81,-0.73,-1.81,
82,-0.78,-1.765,
83,-0.835,-1.71,
84,-0.885,-1.665,
85,-0.915,-1.625,
86,-0.94,-1.6,
87,-0.975,-1.585,
88,-0.98,-1.53,N
89,-0.94,-1.445,
90,-0.915,-1.36,
91,-0.895,-1.27,
92,-0.89,-1.195,
93,-0.83,-1.14,
94,-0.76,-1.095,
95,-0.7,-1.025,
96,-0.625,-0.955,
97,-0.58,-0.885,
98,-0.545,-0.84,
99,-0.505,-0.82,
100,-0.485,-0.77,
101,-0.445,-0.725,
102,-0.395,-0.67,
103,-0.37,-0.655,
104,-0.37,-0.64,
105,-0.36,-0.645,
106,-0.36,-0.64,
107,-0.355,-0.615,
108,-0.325,-0.595,
109,-0.315,-0.585,
110,-0.32,-0.58,
111,-0.345,-0.595,
